dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
humaneval,HumanEval/56,True,stop,False,False,121,852,13.08025822415948,0.3061856683343649,0.01501066105267346,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_7450b50dff3a.json.gz
humaneval,HumanEval/50,True,stop,False,False,120,1532,24.94880853034556,0.3072347640991211,0.01609508410597416,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_6222b9f3308a.json.gz
humaneval,HumanEval/127,True,length,True,True,283,2048,34.69763926975429,0.15524369664490223,0.016874643660532186,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00002_98b9a749f939.json.gz
humaneval,HumanEval/27,True,length,True,True,77,2048,34.718961738049984,0.3073724526911974,0.016810742200956907,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00003_c717ba6bba56.json.gz
humaneval,HumanEval/117,True,length,True,True,210,2048,34.74053858034313,0.3067007288336754,0.016821611065710527,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00004_09425deda7c0.json.gz
humaneval,HumanEval/38,True,length,True,True,187,2048,34.74082313477993,0.30689462646842003,0.016821655353351984,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00005_bf9edc3d1d07.json.gz
humaneval,HumanEval/10,True,length,True,True,171,2048,34.74120303429663,0.3071079906076193,0.016821736709178803,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00006_d505d82ce89e.json.gz
humaneval,HumanEval/111,True,length,True,True,180,2048,34.74034140817821,0.3061583563685417,0.01682177970288699,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_1bbc11f23e15.json.gz
humaneval,HumanEval/26,True,stop,False,False,113,1552,27.823871839791536,0.09907552041113377,0.017875432830032498,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_76934f5896a1.json.gz
humaneval,HumanEval/28,True,stop,False,False,86,399,6.41601107083261,0.11142990924417973,0.015840656184895555,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_88f399f279a6.json.gz
humaneval,HumanEval/0,True,stop,False,False,153,1803,31.566880203783512,0.10370020568370819,0.017460144283074252,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_d82bbe058f2c.json.gz
humaneval,HumanEval/159,True,stop,False,False,319,1460,24.92447803542018,0.7579220347106457,0.016563780672179257,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_13235ce0ad4b.json.gz
humaneval,HumanEval/161,True,stop,False,False,140,1691,29.205223752185702,0.8424804285168648,0.016782688357200495,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_1c7893647126.json.gz
humaneval,HumanEval/69,True,stop,False,False,194,1843,31.889779187738895,0.7582823876291513,0.016900921172698015,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_919a468f56b8.json.gz
humaneval,HumanEval/29,True,stop,False,False,116,703,12.793558835983276,0.11942232400178909,0.018054325515643146,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_1047455a5140.json.gz
humaneval,HumanEval/101,True,length,True,True,145,2048,35.717368960380554,0.2573498636484146,0.017322920907050385,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00015_a6de4bdc99c4.json.gz
humaneval,HumanEval/115,True,length,True,True,355,2048,35.69326939806342,0.8165905643254519,0.017037947647160708,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_80c54a50a177.json.gz
humaneval,HumanEval/87,True,length,True,True,288,2048,35.65475085377693,0.7609154544770718,0.01704632896888122,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00017_8aac81389452.json.gz
humaneval,HumanEval/78,True,stop,False,False,344,927,15.851913895457983,0.12976396642625332,0.016978563638263208,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_09b43a58cf00.json.gz
