dataset,case_id,http_success,finish_reason,is_length_capped,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
humaneval,HumanEval/27,True,stop,False,77,2723,38.34361318126321,0.20225217193365097,0.014012256065146788,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_c717ba6bba56.json.gz
humaneval,HumanEval/127,True,stop,False,283,3029,42.81114558316767,0.2015290930867195,0.014071868061453418,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_98b9a749f939.json.gz
humaneval,HumanEval/38,True,stop,False,187,1386,19.38146324455738,0.1298702284693718,0.013900067159630332,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_bf9edc3d1d07.json.gz
humaneval,HumanEval/10,True,stop,False,171,2540,35.9103424847126,0.13346365466713905,0.014090932977568122,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_d505d82ce89e.json.gz
humaneval,HumanEval/56,True,stop,False,121,894,12.541081611067057,0.1308154482394457,0.013897274538440774,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_7450b50dff3a.json.gz
humaneval,HumanEval/117,True,stop,False,210,2433,34.33953064866364,0.1792571321129799,0.014046165097265896,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_09425deda7c0.json.gz
humaneval,HumanEval/111,True,stop,False,180,1703,23.92627219669521,0.17776906490325928,0.013953292086834282,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00006_1bbc11f23e15.json.gz
humaneval,HumanEval/50,True,stop,False,120,1249,17.477463448420167,0.13086290284991264,0.013899519667924883,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00007_6222b9f3308a.json.gz
humaneval,HumanEval/0,True,stop,False,153,1068,14.945160757750273,0.16500396840274334,0.013852068218694967,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_d82bbe058f2c.json.gz
humaneval,HumanEval/26,True,stop,False,113,2799,39.3582515604794,0.12925385497510433,0.014020370874018692,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_76934f5896a1.json.gz
humaneval,HumanEval/101,True,stop,False,145,2768,39.2251460198313,0.17893394827842712,0.014111388533268114,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_a6de4bdc99c4.json.gz
humaneval,HumanEval/161,True,stop,False,140,3119,44.56134780496359,0.19505890272557735,0.014229085600461197,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_1c7893647126.json.gz
humaneval,HumanEval/115,True,stop,False,355,3826,55.26419676654041,0.2884356528520584,0.014372748003578654,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_80c54a50a177.json.gz
humaneval,HumanEval/69,True,stop,False,194,3481,50.692025842145085,0.1439255103468895,0.014525316187298331,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_919a468f56b8.json.gz
humaneval,HumanEval/159,True,stop,False,319,2335,33.72704658471048,0.29606420546770096,0.014323471456402219,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_13235ce0ad4b.json.gz
humaneval,HumanEval/28,True,stop,False,86,390,5.465654568746686,0.1422571036964655,0.013684826388303909,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_88f399f279a6.json.gz
